ngrams	(2003, 67568)	0.717617853572382	0.013464476940516558
chargrams	(2003, 139087)	0.7666548957893152	0.015223186138705035
puntuactionmarks	(2003, 6)	0.5056477040170965	0.023448544585774056
capitalizedletters	(2003, 4)	0.4635165255856236	0.02724707370962299
laughter	(2003, 1)	0.31866036663067393	0.0055681707361595195
statistics	(2003, 5)	0.3249862526219578	0.0074348153177406125
lexical_diversity	(2003, 10)	0.5440017838505263	0.036772335574703774
deprelneg	(2003, 14)	0.46249074540764595	0.01520249238742285
deprel	(2003, 95321)	0.3441546733258597	0.014671340137997913
relationformVERB	(2003, 11173)	0.5055341287456088	0.02689938420023198
relationformNOUN	(2003, 13585)	0.40794319978757854	0.02344115061487894
Sidorovbigramsform	(2003, 32023)	0.6099514520171964	0.02740081335382296
target_context_one	(2003, 200)	0.31876829813792285	0.005514708954219751
target_context_two	(2003, 400)	0.31876829813792285	0.005514708954219751
tweet_info	(2003, 5)	0.4844937039598734	0.026315403340365785
tweet_info_source	(2003, 31)	0.538481420614909	0.03266869689074586
user_info	(2003, 7)	0.3552606738809379	0.028444342975533686
ngrams, chargrams	(2003, 206655)	0.7762931133831029	0.021113381341840338
ngrams, puntuactionmarks	(2003, 67574)	0.73262155653201	0.0222229465921672
ngrams, capitalizedletters	(2003, 67572)	0.7214136375744591	0.02111866558870095
ngrams, laughter	(2003, 67569)	0.717617853572382	0.013464476940516558
ngrams, statistics	(2003, 67573)	0.7171982687053093	0.010866008979454634
ngrams, lexical_diversity	(2003, 67578)	0.6412934243678923	0.010988704599082107
ngrams, deprelneg	(2003, 67582)	0.7189555395548048	0.016696633759883738
ngrams, deprel	(2003, 162889)	0.6775178388432024	0.017004417758451337
ngrams, relationformVERB	(2003, 78741)	0.7188134138163577	0.009324401123325722
ngrams, relationformNOUN	(2003, 81153)	0.7092696614410678	0.007984635812030367
ngrams, Sidorovbigramsform	(2003, 99591)	0.7141958959880382	0.013484671296195388
ngrams, target_context_one	(2003, 67768)	0.7210111302894052	0.012862116443959614
ngrams, target_context_two	(2003, 67968)	0.7212119648291834	0.012883919322572648
ngrams, tweet_info	(2003, 67573)	0.6173418678438656	0.03045601661920579
ngrams, tweet_info_source	(2003, 67599)	0.7418278979002831	0.02213381014032497
ngrams, user_info	(2003, 67575)	0.3436578325523699	0.029191364575972788
ngrams	(2003, 67568)	0.717617853572382	0.013464476940516558
chargrams	(2003, 139087)	0.7666548957893152	0.015223186138705035
puntuactionmarks	(2003, 6)	0.5056477040170965	0.023448544585774056
capitalizedletters	(2003, 4)	0.4635165255856236	0.02724707370962299
laughter	(2003, 1)	0.31866036663067393	0.0055681707361595195
statistics	(2003, 5)	0.3249862526219578	0.0074348153177406125
lexical_diversity	(2003, 10)	0.5440017838505263	0.036772335574703774
network_centrality_base_retweet	(2003, 4)	0.5806434965728166	0.007225803445187018
network_centrality_base_friend	(2003, 4)	0.3197513433259389	0.005092775709943178
network_label_count_base_retweet	(2003, 6)	0.6799558787642282	0.014708243349955918
network_label_count_base_friend	(2003, 6)	0.7878209324998602	0.013484324913211942
network_mds_base_retweet	(2003, 4)	0.3193096510195246	0.005260278379349239
network_mds_base_friend	(2003, 4)	0.46625904191045553	0.03162592216544623
deprelneg	(2003, 14)	0.46249074540764595	0.01520249238742285
deprel	(2003, 95321)	0.3441546733258597	0.014671340137997913
relationformVERB	(2003, 11173)	0.5055341287456088	0.02689938420023198
relationformNOUN	(2003, 13585)	0.40794319978757854	0.02344115061487894
Sidorovbigramsform	(2003, 32023)	0.6099514520171964	0.02740081335382296
target_context_one	(2003, 200)	0.31876829813792285	0.005514708954219751
target_context_two	(2003, 400)	0.31876829813792285	0.005514708954219751
tweet_info	(2003, 5)	0.4844937039598734	0.026315403340365785
tweet_info_source	(2003, 31)	0.538481420614909	0.03266869689074586
user_info	(2003, 7)	0.3552606738809379	0.028444342975533686
ngrams, chargrams	(2003, 206655)	0.7762931133831029	0.021113381341840338
ngrams, puntuactionmarks	(2003, 67574)	0.73262155653201	0.0222229465921672
ngrams, capitalizedletters	(2003, 67572)	0.7214136375744591	0.02111866558870095
ngrams, laughter	(2003, 67569)	0.717617853572382	0.013464476940516558
ngrams, statistics	(2003, 67573)	0.7171982687053093	0.010866008979454634
ngrams, lexical_diversity	(2003, 67578)	0.6412934243678923	0.010988704599082107
ngrams, network_centrality_base_retweet	(2003, 67572)	0.735430836887971	0.01762078400711828
ngrams, network_centrality_base_friend	(2003, 67572)	0.606275582386336	0.018764743715851493
ngrams, network_label_count_base_retweet	(2003, 67574)	0.7619744666768561	0.01487513941448103
ngrams, network_label_count_base_friend	(2003, 67574)	0.8232287251666864	0.018468672619061422
ngrams, network_mds_base_retweet	(2003, 67572)	0.717617853572382	0.013464476940516558
ngrams, network_mds_base_friend	(2003, 67572)	0.7333056976166971	0.02201514210875194
ngrams, deprelneg	(2003, 67582)	0.7189555395548048	0.016696633759883738
ngrams, deprel	(2003, 162889)	0.6775178388432024	0.017004417758451337
ngrams, relationformVERB	(2003, 78741)	0.7188134138163577	0.009324401123325722
ngrams, relationformNOUN	(2003, 81153)	0.7092696614410678	0.007984635812030367
ngrams, Sidorovbigramsform	(2003, 99591)	0.7141958959880382	0.013484671296195388
